,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,scale,col,row.ID,study.ID,dist.inv,pr.st
18,18,329,900,m6_3_43,AS,a,abu,Mean number of captures per night,sec,nat,NA,5,p,81,60.52834047,2,23.63333333,12.21387189,6,1.840090214,-1.23179101,0.323716252,-1.609437912,NA,-1.609437912,1.471599286,darkgreen,900,43,NA,0.026726537
19,19,365,992,m6_3_49,SA,a,abu,Mean site biomass (g),pla,nat,1.2,4,p,102,34.88266045,5,20.2,15.42886904,5,2.739400495,-1.619290209,0.140070741,-1.386294361,-0.182321557,-1.386294361,1.577708819,darkgreen,992,49,-0.182321557,0.232556347
20,20,366,993,m6_3_49,SA,a,abu,Mean site biomass (g),sec,nat,1.2,14,p,102,34.88266045,5,26.7,19.00657781,5,2.421285113,-1.340309248,0.124739038,-2.63905733,-0.182321557,-2.63905733,1.592392265,darkgreen,993,49,-0.182321557,-0.923004558
22,22,368,995,m6_3_50,AS,a,abu,Mean number of individuals collected per hour,sec,dis,NA,20,p,7.973333333,6.118630021,3,3.66,1.272792206,2,0.621231787,-0.778639493,0.256761736,-2.995732274,NA,-2.995732274,1.500949882,darkgreen,995,50,NA,-1.25200504
21,21,367,994,m6_3_50,AS,a,abu,Mean number of individuals collected per hour,sec,dis,NA,60,p,7.973333333,6.118630021,3,6.355,1.209152596,2,0.233322953,-0.226860736,0.21439506,-4.094344562,NA,-4.094344562,1.523791097,darkgreen,994,50,NA,-2.26537584
25,25,504,1513,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",pla,nat,17,4,p,6.7,2.236067977,5,1.1,0.670820393,5,3.064087134,-1.806797347,0.096656842,-1.386294361,-2.833213344,-1.386294361,1.624698969,darkgreen,1513,88,-2.833213344,0.232556347
23,23,502,1511,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",pla,nat,17,4,p,13.6,5.366563146,5,3.4,1.565247584,5,2.330700645,-1.386294361,0.073529412,-1.386294361,-2.833213344,-1.386294361,1.659339424,darkgreen,1511,88,-2.833213344,0.232556347
24,24,503,1512,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",pla,nat,17,4,p,6.8,3.354101966,5,1.8,0.894427191,5,1.839872873,-1.329135947,0.098041886,-1.386294361,-2.833213344,-1.386294361,1.622896808,darkgreen,1512,88,-2.833213344,0.232556347
29,29,508,1523,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",sec,nat,11,14,p,6.7,2.236067977,5,9.7,5.142956348,5,-0.683317062,0.370018359,0.078499442,-2.63905733,-2.397895273,-2.63905733,1.651054788,darkgreen,1523,88,-2.397895273,-0.923004558
27,27,506,1521,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",sec,nat,11,14,p,13.6,5.366563146,5,21,10.50951949,5,-0.801023861,0.434452645,0.081232571,-2.63905733,-2.397895273,-2.63905733,1.646719717,darkgreen,1521,88,-2.397895273,-0.923004558
28,28,507,1522,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",sec,nat,11,14,p,6.8,3.354101966,5,10.7,6.260990337,5,-0.701367047,0.453321129,0.117136766,-2.63905733,-2.397895273,-2.63905733,1.600357152,darkgreen,1522,88,-2.397895273,-0.923004558
26,26,505,1514,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",pla,nat,17,4,p,0.1,0.223606798,5,0.4,0.670820393,5,-0.541935484,1.386294361,1.562500002,-1.386294361,-2.833213344,-1.386294361,1.272206865,darkgreen,1514,88,-2.833213344,0.232556347
30,30,509,1524,m6_3_88,SA,a,abu,"Mean abundance per trap night, standardized by trap area",sec,nat,11,14,p,0.1,0.223606798,5,0.5,0.670820393,5,-0.722580645,1.609437912,1.360000002,-2.63905733,-2.397895273,-2.63905733,1.289788231,darkgreen,1524,88,-2.397895273,-0.923004558
33,33,550,1586,m6_3_91,SA,a,abu,Mean abundance,sel,nat,0.5,6,p,497,384.666089,2,262,124.4507935,2,0.46972576,-0.640245522,0.412333389,-1.791759469,0.693147181,-1.791759469,1.440950878,darkgreen,1586,91,0.693147181,-0.141448663
34,34,551,1587,m6_3_91,SA,a,abu,Mean biomass (g),sel,nat,0.5,6,p,37.3,27.43574311,2,20.2,12.85520128,2,0.45609714,-0.613310722,0.47301154,-1.791759469,0.693147181,-1.791759469,1.423561389,darkgreen,1587,91,0.693147181,-0.141448663
32,32,549,1582,m6_3_91,SA,a,abu,Mean biomass (g),pas,nat,7,0.5,p,37.3,27.43574311,2,49.7,22.20315293,2,-0.28391733,0.287011606,0.370301426,0.693147181,-1.945910149,0.693147181,1.454569219,darkgreen,1582,91,-1.945910149,2.150653714
31,31,548,1581,m6_3_91,SA,a,abu,Mean abundance,pas,nat,7,0.5,p,497,384.666089,2,2073,948.9373004,2,-1.243825054,1.428162086,0.404291741,0.693147181,-1.945910149,0.693147181,1.443445599,darkgreen,1581,91,-1.945910149,2.150653714
43,43,639,1690,m6_3_98,AS,a,abu,Mean number of dung beetles collected,sec,nat,NA,5,p,3.24,2.09,4,0.03,0,4,1.888756204,-4.682131227,0.104026158,-1.609437912,NA,-1.609437912,1.615392228,darkgreen,1690,98,NA,0.026726537
40,40,636,1686,m6_3_98,AS,a,abu,Mean number of dung beetles collected,agf,nat,NA,5,p,11.05,4.24,4,1.5,0.53,4,2.748450889,-1.99696532,0.06801953,-1.609437912,NA,-1.609437912,1.669205416,darkgreen,1686,98,NA,0.026726537
35,35,631,1681,m6_3_98,AS,a,abu,Mean number of dung beetles collected,agf,nat,NA,5,p,29.93,3.16,4,4.7,1.25,4,9.130175803,-1.851298813,0.020470108,-1.609437912,NA,-1.609437912,1.821308095,darkgreen,1681,98,NA,0.026726537
44,44,640,1691,m6_3_98,AS,a,abu,Mean number of dung beetles collected,sec,nat,NA,5,p,10.27,2.14,4,2.84,2.24,4,2.949400154,-1.285422972,0.166379619,-1.609437912,NA,-1.609437912,1.555906726,darkgreen,1691,98,NA,0.026726537
42,42,638,1689,m6_3_98,AS,a,abu,Mean number of dung beetles collected,sec,nat,NA,5,p,29.93,3.16,4,8.82,4.13,4,4.992085002,-1.221839452,0.057602212,-1.609437912,NA,-1.609437912,1.690261384,darkgreen,1689,98,NA,0.026726537
37,37,633,1683,m6_3_98,AS,a,abu,Mean number of dung beetles collected,agf,nat,NA,5,p,10.27,2.14,4,3.2,2.7,4,2.523588441,-1.166076214,0.188833437,-1.609437912,NA,-1.609437912,1.539871822,darkgreen,1683,98,NA,0.026726537
47,47,643,1694,m6_3_98,AS,a,abu,Mean number of dung beetles collected,sec,nat,NA,5,p,11.05,4.24,4,3.74,1.79,4,1.953233337,-1.083344817,0.094075213,-1.609437912,NA,-1.609437912,1.628128085,darkgreen,1694,98,NA,0.026726537
41,41,637,1687,m6_3_98,AS,a,abu,Mean number of specimens,agf,nat,NA,5,p,64.25,9.12,4,22.75,6.65,4,4.521534241,-1.038216578,0.02639808,-1.609437912,NA,-1.609437912,1.78909402,darkgreen,1687,98,NA,0.026726537
36,36,632,1682,m6_3_98,AS,a,abu,Mean number of dung beetles collected,agf,nat,NA,5,p,3.24,2.09,4,1.23,0.95,4,1.076671423,-0.96855916,0.253160272,-1.609437912,NA,-1.609437912,1.50273912,darkgreen,1682,98,NA,0.026726537
48,48,644,1695,m6_3_98,AS,a,abu,Mean number of specimens,sec,nat,NA,5,p,64.25,9.12,4,26.25,9.22,4,3.603379179,-0.895115735,0.035879183,-1.609437912,NA,-1.609437912,1.750224928,darkgreen,1695,98,NA,0.026726537
46,46,642,1693,m6_3_98,AS,a,abu,Mean number of dung beetles collected,sec,nat,NA,5,p,1.98,0.83,4,0.99,1.15,4,0.858426526,-0.693147181,0.381268493,-1.609437912,NA,-1.609437912,1.450872321,darkgreen,1693,98,NA,0.026726537
39,39,635,1685,m6_3_98,AS,a,abu,Mean number of dung beetles collected,agf,nat,NA,5,p,1.98,0.83,4,1.23,1.27,4,0.607917475,-0.476082675,0.310455022,-1.609437912,NA,-1.609437912,1.47689746,darkgreen,1685,98,NA,0.026726537
45,45,641,1692,m6_3_98,AS,a,abu,Mean number of dung beetles collected,sec,nat,NA,5,p,1.49,0.57,4,5.19,1.74,4,-2.485046321,1.247957577,0.064686026,-1.609437912,NA,-1.609437912,1.675570276,darkgreen,1692,98,NA,0.026726537
38,38,634,1684,m6_3_98,AS,a,abu,Mean number of dung beetles collected,agf,nat,NA,5,p,1.49,0.57,4,6.45,1.35,4,-4.162386071,1.465304011,0.047538056,-1.609437912,NA,-1.609437912,1.714584861,darkgreen,1684,98,NA,0.026726537
49,49,650,1735,m6_3_106,AS,a,abu,Mean relative abundance of endemics,bur,nat,13,2,p,48.4,6.75499815,3,18.6,6.062177826,3,3.714585466,-0.956338233,0.041901614,-0.693147181,-2.564949357,-0.693147181,1.730570733,darkgreen,1735,106,-2.564949357,0.871922136
50,50,651,1739,m6_3_106,AS,a,abu,Relative abundance of endemics,sel,nat,7,4,p,55.3,5.888972746,3,45.2,6.235382907,3,1.332310646,-0.201675822,0.010123625,-1.386294361,-1.945910149,-1.386294361,1.910491939,darkgreen,1739,106,-1.945910149,0.232556347
52,52,658,1754,m6_3_111,AS,a,abu,abundance (per sq m),sel,nat,5,3,p,1511,566,3,886,383,3,1.034679009,-0.533810012,0.109060289,-1.098612289,-1.609437912,-1.098612289,1.609406251,darkgreen,1754,111,-1.609437912,0.497917126
54,54,660,1756,m6_3_111,AS,a,abu,biomass (g/sq m),sel,nat,5,3,p,3.49,1.02,3,2.7,1.31,3,0.538335572,-0.256649963,0.106940894,-1.098612289,-1.609437912,-1.098612289,1.611891989,darkgreen,1756,111,-1.609437912,0.497917126
51,51,657,1753,m6_3_111,AS,a,abu,abundance (per sq m),sel,nat,10,17,p,1511,566,3,1761,573,3,-0.351178618,0.153110146,0.08206308,-2.833213344,-2.302585093,-2.833213344,1.645431292,darkgreen,1753,111,-2.302585093,-1.102095979
53,53,659,1755,m6_3_111,AS,a,abu,biomass (g/sq m),sel,nat,10,17,p,3.49,1.02,3,4.71,2.14,3,-0.582232787,0.299786172,0.09728472,-2.833213344,-2.302585093,-2.833213344,1.623878822,darkgreen,1755,111,-2.302585093,-1.102095979
55,55,747,1971,m6_3_123,SA,a,abu,Mean abundance,sec,nat,2.3,12,p,23.52,7.24,6,13.66,9.26,6,1.09504123,-0.543379269,0.092382029,-2.48490665,-0.832909123,-2.48490665,1.630428586,darkgreen,1971,123,-0.832909123,-0.780814452
56,56,774,2015,m6_3_126,SA,a,abu,Log abundance + 1,bur,nat,NA,3,p,1.93,0.52,4,0.07,0,4,4.398724458,-3.31678004,0.018148138,-1.098612289,NA,-1.098612289,1.836558237,darkgreen,2015,126,NA,0.497917126
58,58,776,2017,m6_3_126,SA,a,abu,Log abundance + 1,bur,nat,NA,3,p,1.84,0.42,4,0.31,0,4,4.479806937,-1.780948553,0.013025756,-1.098612289,NA,-1.098612289,1.878565237,darkgreen,2017,126,NA,0.497917126
60,60,778,2019,m6_3_126,SA,a,abu,"Log mean abundance, horse dung samples",bur,nat,NA,3,p,1.63,0.31,4,1.49,0.55,4,0.272694605,-0.089803895,0.043106274,-1.098612289,NA,-1.098612289,1.726980523,darkgreen,2019,126,NA,0.497917126
61,61,779,2020,m6_3_126,SA,a,abu,"Log mean abundance, human dung samples",bur,nat,NA,3,p,2.05,0.24,4,2.36,0.29,4,-1.012730585,0.140821826,0.007201489,-1.098612289,NA,-1.098612289,1.953631921,darkgreen,2020,126,NA,0.497917126
59,59,777,2018,m6_3_126,SA,a,abu,Log abundance + 1,bur,nat,NA,3,p,0.57,1,4,2.43,0.62,4,-1.944013634,1.450010176,0.785742148,-1.098612289,NA,-1.098612289,1.359277921,darkgreen,2018,126,NA,0.497917126
57,57,775,2016,m6_3_126,SA,a,abu,Log abundance + 1,bur,nat,NA,3,p,0.02,0,4,0.76,0.78,4,-1.166686774,3.63758616,0.263331025,-1.098612289,NA,-1.098612289,1.497749909,darkgreen,2016,126,NA,0.497917126
62,62,820,2094,m6_3_132,SA,a,abu,Mean abundance (families),sec,nat,3.3,5,p,390.3,107.9,3,60.3,25.5,3,3.367409942,-1.86758357,0.085086342,-1.609437912,-1.193922468,-1.609437912,1.640848777,darkgreen,2094,132,-1.193922468,0.026726537
65,65,823,2097,m6_3_132,SA,a,abu,Mean abundance (species),sec,nat,3.3,5,p,236.7,101.2,3,38.7,22.4,3,2.161241731,-1.810953916,0.172605895,-1.609437912,-1.193922468,-1.609437912,1.551253204,darkgreen,2097,132,-1.193922468,0.026726537
66,66,824,2098,m6_3_132,SA,a,abu,Mean abundance (species),sec,nat,3.3,12,p,236.7,101.2,3,38.7,16.5,3,2.184703937,-1.810953916,0.121525008,-2.48490665,-1.193922468,-2.48490665,1.595698693,darkgreen,2098,132,-1.193922468,-0.780814452
63,63,821,2095,m6_3_132,SA,a,abu,Mean abundance (families),sec,nat,3.3,12,p,390.3,107.9,3,106,64.1,3,2.562859191,-1.30347658,0.147369816,-2.48490665,-1.193922468,-2.48490665,1.571274557,darkgreen,2095,132,-1.193922468,-0.780814452
64,64,822,2096,m6_3_132,SA,a,abu,Mean abundance (families),sec,nat,3.3,35,p,390.3,107.9,3,348,238.5,3,0.182819243,-0.114713194,0.182041451,-3.555348061,-1.193922468,-3.555348061,1.544511667,darkgreen,2096,132,-1.193922468,-1.768200157
67,67,825,2099,m6_3_132,SA,a,abu,Mean abundance (species),sec,nat,3.3,35,p,236.7,101.2,3,237,182.3,3,-0.001627825,0.001266625,0.258153709,-3.555348061,-1.193922468,-3.555348061,1.500265054,darkgreen,2099,132,-1.193922468,-1.768200157
71,71,837,2141,m6_3_133,SA,a,abu,"Mean number of beetles per trap, November",sec,pla,2.5,15,p,12.33,4.46,7,10.85,3.85,2,0.30048798,-0.127870237,0.081646814,-2.708050201,-0.916290732,-2.708050201,1.646075436,darkgreen,2141,133,-0.916290732,-0.986644262
69,69,835,2139,m6_3_133,SA,a,abu,"Mean beetle biomass per trap, November",sec,pla,2.5,15,p,1.35,0.73,7,1.2,0.36,2,0.193402176,-0.117783036,0.086771507,-2.708050201,-0.916290732,-2.708050201,1.638364657,darkgreen,2139,133,-0.916290732,-0.986644262
68,68,834,2138,m6_3_133,SA,a,abu,"Mean beetle biomass per trap, April",sec,pla,2.5,15,p,0.34,0.08,7,0.47,0.05,2,-1.511743799,0.323787077,0.013567715,-2.708050201,-0.916290732,-2.708050201,1.873401822,darkgreen,2138,133,-0.916290732,-0.986644262
70,70,836,2140,m6_3_133,SA,a,abu,"Mean number of beetles per trap, April",sec,pla,2.5,15,p,3.02,0.48,7,4.75,0.25,2,-3.384727463,0.452887787,0.004993906,-2.708050201,-0.916290732,-2.708050201,2,darkgreen,2140,133,-0.916290732,-0.986644262
72,72,845,2195,m6_3_136,AS,a,abu,"Mean log-transformed encounter rates, 2003",sec,NA,4.1,20,p,2.5,0.989949493,2,0.2,1.632329623,5,1.27117731,-2.525728644,13.40089999,-2.995732274,-1.410986974,-2.995732274,1,darkgreen,2195,136,-1.410986974,-1.25200504
73,73,847,2197,m6_3_136,AS,a,abu,"Mean log-transformed encounter rates, 2005",sec,NA,4.1,20,p,1.5,1.117228714,2,0.4,1.833575741,5,0.541159462,-1.32175584,4.479877775,-2.995732274,-1.410986974,-2.995732274,1.138789829,darkgreen,2197,136,-1.410986974,-1.25200504
74,74,848,2198,m6_3_136,AS,a,abu,"Mean log-transformed encounter rates, 2005",sec,NA,5,5,p,1.5,1.117228714,2,0.67,1.645448267,3,0.403941122,-0.805942675,2.287847815,-1.609437912,-1.609437912,-1.609437912,1.223906513,darkgreen,2198,136,-1.609437912,0.026726537
