,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,scale,col,row.ID,study.ID,dist.inv,pr.st
21,21,34,268,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,3.2125,1.607285662,5,6.8967,8.840741963,5,-0.523726503,0.763993586,0.378707777,-1.386294361,-0.182321557,-1.386294361,1.456624091,darkgreen,268,11,-0.182321557,-0.11044503
40,40,54,307,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,3.6617,2.009330685,5,7.8851,4.018661369,5,-1.200707248,0.767047382,0.112172828,-2.63905733,-0.182321557,-2.63905733,1.55174259,darkgreen,307,11,-0.182321557,-1.114444718
36,36,50,303,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,0.6964,0.803642831,5,1.5051,1.406486758,5,-0.637694968,0.770690412,0.440992165,-2.63905733,-0.182321557,-2.63905733,1.444720854,darkgreen,303,11,-0.182321557,-1.114444718
39,39,53,306,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,0.4268,0.401821416,5,0.966,1.004665342,5,-0.636527937,0.816848315,0.393605848,-2.63905733,-0.182321557,-2.63905733,1.453607662,darkgreen,306,11,-0.182321557,-1.114444718
33,33,46,299,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,3.2125,1.607285662,5,8.2445,5.425148127,5,-1.135981213,0.942496861,0.136665826,-2.63905733,-0.182321557,-2.63905733,1.536303012,darkgreen,299,11,-0.182321557,-1.114444718
37,37,51,304,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,1.595,0.803642831,5,4.3806,4.621505296,5,-0.758538732,1.010311965,0.273375559,-2.63905733,-0.182321557,-2.63905733,1.482103051,darkgreen,304,11,-0.182321557,-1.114444718
29,29,42,276,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,4.8462,1.605273201,5,15.5128,10.09092757,5,-1.333458043,1.163470597,0.106572031,-1.386294361,-0.182321557,-1.386294361,1.555746735,darkgreen,276,11,-0.182321557,-0.11044503
44,44,58,311,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,4.8462,1.605273201,5,16.7436,6.421540018,5,-2.295945183,1.239821203,0.051362312,-2.63905733,-0.182321557,-2.63905733,1.612808608,darkgreen,311,11,-0.182321557,-1.114444718
38,38,52,305,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,3.2125,1.205464247,5,11.3896,5.625947031,5,-1.815380332,1.265651208,0.076959539,-2.63905733,-0.182321557,-2.63905733,1.581196218,darkgreen,305,11,-0.182321557,-1.114444718
41,41,55,308,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,1.8646,1.406486758,5,9.233,2.612174611,5,-3.172504199,1.59973747,0.129805199,-2.63905733,-0.182321557,-2.63905733,1.540329373,darkgreen,308,11,-0.182321557,-1.114444718
25,25,38,272,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,3.6617,2.009330685,5,22.7118,13.66326977,5,-1.762007691,1.824957093,0.132606615,-1.386294361,-0.182321557,-1.386294361,1.538660153,darkgreen,272,11,-0.182321557,-0.11044503
24,24,37,271,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,0.4268,0.401821416,5,7.8851,9.443809496,5,-1.007885508,2.916414662,0.464161374,-1.386294361,-0.182321557,-1.386294361,1.440717844,darkgreen,271,11,-0.182321557,-0.11044503
45,45,59,312,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,0.4359,0.229420574,5,14.5897,5.733501901,5,-3.150772364,3.51065822,0.086288535,-2.63905733,-0.182321557,-2.63905733,1.572251572,darkgreen,312,11,-0.182321557,-1.114444718
30,30,43,277,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,0.4359,0.229420574,5,26.3846,26.14477761,5,-1.267725624,4.103122926,0.251782161,-1.386294361,-0.182321557,-1.386294361,1.48853554,darkgreen,277,11,-0.182321557,-0.11044503
52,52,269,739,m6_4_29,SA,b,abu,Average density,sec,nat,NA,15,p,69.2,16.1,50,30.9,5.7,50,3.147027409,-0.806244679,0.001763158,-2.708050201,NA,-2.708050201,1.876401957,darkgreen,739,29,NA,-1.169737557
48,48,261,731,m6_4_29,SA,b,abu,Average abundance,sec,nat,NA,15,p,19.4,3.2,50,13.1,1.8,50,2.408050383,-0.392660836,0.00092176,-2.708050201,NA,-2.708050201,1.927105025,darkgreen,731,29,NA,-1.169737557
49,49,264,734,m6_4_29,SA,b,abu,Average density,sec,nat,NA,15,p,30.5,4,50,26.9,2.7,50,1.046857871,-0.125600397,0.000545483,-2.708050201,NA,-2.708050201,1.968117112,darkgreen,734,29,NA,-1.169737557
51,51,268,738,m6_4_29,SA,b,abu,Average density,sec,nat,NA,15,p,19.8,3.6,50,31.1,3.7,50,-3.07184857,0.451525881,0.000944239,-2.708050201,NA,-2.708050201,1.925221416,darkgreen,738,29,NA,-1.169737557
53,53,270,740,m6_4_29,SA,b,abu,Average density,sec,nat,NA,15,p,32.7,2.8,50,60.6,6.3,50,-5.679240525,0.616919815,0.000362795,-2.708050201,NA,-2.708050201,2,darkgreen,740,29,NA,-1.169737557
50,50,267,737,m6_4_29,SA,b,abu,Average density,sec,nat,NA,15,p,5.7,1,50,12.3,2.4,50,-3.56238254,0.769133088,0.001377026,-2.708050201,NA,-2.708050201,1.895725538,darkgreen,737,29,NA,-1.169737557
54,54,319,869,m6_4_39,AF,b,abu,Mean abundance,bur,nat,5,5,p,13.8,4.5,14,18.9,6.6,14,-0.87660426,0.31449333,0.016305556,-1.609437912,-1.609437912,-1.609437912,1.70250754,darkgreen,869,39,-1.609437912,-0.289278585
55,55,321,873,m6_4_40,AS,b,abu,Mean number of detections per point,abn,nat,NA,5,p,7.49,1.004290795,6,4.7,0.588897275,3,2.73951332,-0.466006289,0.008229567,-1.609437912,NA,-1.609437912,1.755962071,darkgreen,873,40,NA,-0.289278585
56,56,322,874,m6_4_40,AS,b,abu,Mean number of individuals per point,abn,nat,NA,5,p,18.79,2.547469332,6,12.15,2.424871131,3,2.348627508,-0.435995644,0.016340575,-1.609437912,NA,-1.609437912,1.702339821,darkgreen,874,40,NA,-0.289278585
61,61,373,1003,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,1,p,67.3,6.151828996,2,4.8,1.414213562,2,8.001474968,-2.640544319,0.047580585,0,-0.693147181,0,1.618787491,darkgreen,1003,52,-0.693147181,1.000570494
62,62,374,1004,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,5,p,67.3,6.151828996,2,28.8,4.87903679,2,3.962516998,-0.84878485,0.018527851,-1.609437912,-0.693147181,-1.609437912,1.692519072,darkgreen,1004,52,-0.693147181,-0.289278585
58,58,370,1000,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,5,p,68.2,6.081118318,2,34.3,4.963889604,2,3.489916978,-0.687299211,0.014447196,-1.609437912,-0.693147181,-1.609437912,1.711967256,darkgreen,1000,52,-0.693147181,-0.289278585
57,57,369,999,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,1,p,68.2,6.081118318,2,36.8,5.897270555,2,2.995518731,-0.61694672,0.016815623,0,-0.693147181,0,1.700099528,darkgreen,999,52,-0.693147181,1.000570494
63,63,375,1005,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,10,p,67.3,6.151828996,2,38,4.836610383,2,3.025762106,-0.571574077,0.012277807,-2.302585093,-0.693147181,-2.302585093,1.724687024,darkgreen,1005,52,-0.693147181,-0.844786347
59,59,371,1001,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,10,p,68.2,6.081118318,2,39.4,4.709331163,2,3.025961719,-0.548678749,0.011118537,-2.302585093,-0.693147181,-2.302585093,1.732440481,darkgreen,1001,52,-0.693147181,-0.844786347
64,64,376,1006,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,25,p,67.3,6.151828996,2,44.9,4.737615434,2,2.331322341,-0.404722442,0.009744496,-3.218875825,-0.693147181,-3.218875825,1.74275275,darkgreen,1006,52,-0.693147181,-1.579127665
60,60,372,1002,m6_4_52,AS,b,abu,Bird abundance (no./transect),abn,nat,2,25,p,68.2,6.081118318,2,45.6,4.907321061,2,2.337225345,-0.402536848,0.00976596,-3.218875825,-0.693147181,-3.218875825,1.742580742,darkgreen,1002,52,-0.693147181,-1.579127665
66,66,378,1016,m6_4_52,AS,b,abu,Bird abundance (no./transect),dis,nat,2,100,p,67.3,6.151828996,2,64.1,6.703372286,2,0.284225927,-0.048715873,0.00964596,-4.605170186,-0.693147181,-4.605170186,1.743547287,darkgreen,1016,52,-0.693147181,-2.690143189
65,65,377,1015,m6_4_52,AS,b,abu,Bird abundance (no./transect),dis,nat,2,100,p,68.2,6.081118318,2,66.5,6.561950929,2,0.153558726,-0.025242617,0.008843756,-4.605170186,-0.693147181,-4.605170186,1.750335103,darkgreen,1015,52,-0.693147181,-2.690143189
68,68,381,1096,m6_4_58,CA,b,abu,Mean number of individuals per plot,pas,nat,NA,0.75,p,29.1,9.96,4,31.99,13.48,4,-0.212045888,0.09468518,0.073677483,0.287682072,NA,0.287682072,1.584603325,darkgreen,1096,58,NA,1.231127046
67,67,379,1094,m6_4_58,CA,b,abu,Mean number of individuals captured per station,pas,nat,NA,0.75,p,2.91,5.9192,4,3.21,9.408,4,-0.033191098,0.098117856,3.181837288,0.287682072,NA,0.287682072,1.290230661,darkgreen,1094,58,NA,1.231127046
69,69,388,1117,m6_4_60,SA,b,abu,Mean capture success in net lines,bur,nat,NA,0.833333333,p,189.4,109.4601297,8,104.7,54.58864351,8,0.925875015,-0.592762063,0.075730363,0.182321557,NA,0.182321557,1.5824549,darkgreen,1117,60,NA,1.146688148
71,71,492,1496,m6_4_85,SA,b,abu,Mean number of captures per net hour,sec,nat,NA,7,p,0.2025,0.032015621,4,0.186666667,0.077674535,3,0.24229078,-0.08141539,0.063965884,-1.945910149,NA,-1.945910149,1.595653282,darkgreen,1496,85,NA,-0.558936956
70,70,491,1495,m6_4_85,SA,b,abu,Mean number of captures per net hour,sec,nat,NA,1,p,0.2025,0.032015621,4,0.233333333,0.055075705,3,-0.60723832,0.141728158,0.024820476,0,NA,0,1.669660915,darkgreen,1495,85,NA,1.000570494
74,74,495,1501,m6_4_86,SA,b,abu,Mean abundance per plot,sec,nat,0.3,20,p,56.25,14.56880228,4,37.5,9.036961141,4,1.344950568,-0.405465108,0.031288889,-2.995732274,1.203972804,-2.995732274,1.651555838,darkgreen,1501,86,1.203972804,-1.400294109
72,72,493,1499,m6_4_86,SA,b,abu,Mean abundance per plot,sec,nat,0.3,4,p,51,7.438637868,4,41.25,16.91892432,4,0.648744124,-0.21217452,0.0473754,-1.386294361,1.203972804,-1.386294361,1.619125343,darkgreen,1499,86,1.203972804,-0.11044503
73,73,494,1500,m6_4_86,SA,b,abu,Mean abundance per plot,sec,nat,0.3,7,p,49.5,12.28820573,4,56.5,15.58845727,4,-0.433677696,0.132267969,0.034437056,-1.945910149,1.203972804,-1.945910149,1.644061104,darkgreen,1500,86,1.203972804,-0.558936956
79,79,500,1509,m6_4_87,SA,b,abu,Mean number of captures per net hour,bur,nat,2.5,1,p,0.0066,0.00311127,8,0.00049,0.001159655,8,2.460432687,-2.600419537,0.727902582,0,-0.916290732,0,1.405543775,darkgreen,1509,87,-0.916290732,1.000570494
75,75,496,1505,m6_4_87,SA,b,abu,Mean number of captures per net hour,bur,nat,2.5,1,p,0.035,0.01979899,8,0.0047,0.005656854,8,1.967502764,-2.007785553,0.221077395,0,-0.916290732,0,1.498702427,darkgreen,1505,87,-0.916290732,1.000570494
80,80,501,1510,m6_4_87,SA,b,abu,Mean number of captures per net hour,bur,nat,2.5,1,p,0.0097,0.004242641,8,0.0038,0.003394113,8,1.451942591,-0.937124819,0.123636296,0,-0.916290732,0,1.544135812,darkgreen,1510,87,-0.916290732,1.000570494
77,77,498,1507,m6_4_87,SA,b,abu,Mean number of captures per net hour,bur,nat,2.5,1,p,0.042,0.011313708,8,0.019,0.008485281,8,2.17454555,-0.793230639,0.03400104,0,-0.916290732,0,1.645057227,darkgreen,1507,87,-0.916290732,1.000570494
78,78,499,1508,m6_4_87,SA,b,abu,Mean number of captures per net hour,bur,nat,2.5,1,p,0.017,0.008485281,8,0.012,0.008485281,8,0.557114458,-0.348306694,0.09364186,0,-0.916290732,0,1.565858287,darkgreen,1508,87,-0.916290732,1.000570494
76,76,497,1506,m6_4_87,SA,b,abu,Mean number of captures per net hour,bur,nat,2.5,1,p,0.03,0.014142136,8,0.024,0.016970563,8,0.363159143,-0.223143551,0.090277781,0,-0.916290732,0,1.568718441,darkgreen,1506,87,-0.916290732,1.000570494
81,81,510,1531,m6_4_89,SA,b,abu,Mean abundance,sec,nat,7,13,p,18.5,5,4,10.2,0.8,4,2.015748009,-0.595383012,0.019799375,-2.564949357,-1.945910149,-2.564949357,1.687330121,darkgreen,1531,89,-1.945910149,-1.055052492
82,82,647,1715,m6_4_101,AS,b,abu,Mean no. of individuals per plot,bur,nat,3,3,p,64.1,11.7,3,65.3,12.2,2,-0.07352993,0.018547672,0.028558133,-1.098612289,-1.098612289,-1.098612289,1.658694963,darkgreen,1715,101,-1.098612289,0.120111522
83,83,648,1716,m6_4_101,AS,b,abu,Mean no. of individuals per plot,bur,nat,6.7,3,p,64.1,11.7,3,68.7,8.5,3,-0.359868857,0.069304835,0.016208141,-1.098612289,-1.902107526,-1.098612289,1.702975986,darkgreen,1716,101,-1.902107526,0.120111522
84,84,759,1994,m6_4_123,SA,b,abu,Mean abundance,sec,nat,2.3,12,p,73.3,17.24,6,48.85,20.91,6,1.177746735,-0.40580623,0.039756761,-2.48490665,-0.832909123,-2.48490665,1.632831392,darkgreen,1994,123,-0.832909123,-0.990904001
97,97,805,2047,m6_4_128,SA,b,abu,Mean encounter rate,sel,nat,17,1.333333333,p,1.74,0.571576766,3,1.18,0.883345912,3,0.60217012,-0.388370675,0.222768855,-0.287682072,-2.833213344,-0.287682072,1.498106581,darkgreen,2047,128,-2.833213344,0.770013942
90,90,798,2040,m6_4_128,SA,b,abu,Density estimate,sel,nat,17,1.333333333,p,6.9,41.07731695,3,5,22.06632729,3,0.046100111,-0.322083499,18.30597037,-0.287682072,-2.833213344,-0.287682072,1.153440939,darkgreen,2040,128,-2.833213344,0.770013942
87,87,795,2037,m6_4_128,SA,b,abu,Density estimate,sel,nat,17,1.333333333,p,2.8,9.84497679,3,2.3,9.84497679,3,0.040629857,-0.196710294,10.22824518,-0.287682072,-2.833213344,-0.287682072,1.198945115,darkgreen,2037,128,-2.833213344,0.770013942
99,99,807,2049,m6_4_128,SA,b,abu,Mean encounter rate,sel,nat,17,1.333333333,p,2.04,0.935307436,3,1.82,1.420281662,3,0.146362063,-0.114113307,0.273064011,-0.287682072,-2.833213344,-0.287682072,1.482192194,darkgreen,2049,128,-2.833213344,0.770013942
86,86,794,2036,m6_4_128,SA,b,abu,Density estimate,sel,nat,17,1.333333333,p,2.4,6.789639166,3,2.2,2.715855666,3,0.030942777,-0.087011377,3.175757943,-0.287682072,-2.833213344,-0.287682072,1.29038017,darkgreen,2036,128,-2.833213344,0.770013942
102,102,810,2052,m6_4_128,SA,b,abu,Mean encounter rate,sel,nat,17,1.333333333,p,3.46,1.558845727,3,3.53,1.004589468,3,-0.042704566,0.020029282,0.094656574,-0.287682072,-2.833213344,-0.287682072,1.565015721,darkgreen,2052,128,-2.833213344,0.770013942
96,96,804,2046,m6_4_128,SA,b,abu,Mean encounter rate,sel,nat,17,1.333333333,p,1.08,0.346410162,3,1.14,1.004589468,3,-0.063880867,0.054067221,0.293142429,-0.287682072,-2.833213344,-0.287682072,1.476645429,darkgreen,2046,128,-2.833213344,0.770013942
104,104,812,2054,m6_4_128,SA,b,abu,Mean encounter rate,sel,nat,17,1.333333333,p,5.78,3.533383647,3,6.21,1.056550993,3,-0.131912643,0.071757213,0.134216344,-0.287682072,-2.833213344,-0.287682072,1.537716879,darkgreen,2054,128,-2.833213344,0.770013942
92,92,800,2042,m6_4_128,SA,b,abu,Density estimate,sel,nat,17,1.333333333,p,19.2,88.60479111,3,21.1,31.23234016,3,-0.022880738,0.094362761,7.82923044,-0.287682072,-2.833213344,-0.287682072,1.219840658,darkgreen,2042,128,-2.833213344,0.770013942
95,95,803,2045,m6_4_128,SA,b,abu,Mean encounter rate,sel,nat,17,1.333333333,p,0.61,0.103923048,3,0.69,0.277128129,3,-0.305803829,0.12323264,0.063445035,-0.287682072,-2.833213344,-0.287682072,1.596292444,darkgreen,2045,128,-2.833213344,0.770013942
88,88,796,2038,m6_4_128,SA,b,abu,Density estimate,sel,nat,17,1.333333333,p,3.1,9.84497679,3,3.6,18.33202575,3,-0.027185523,0.149531734,12.00549969,-0.287682072,-2.833213344,-0.287682072,1.186420412,darkgreen,2038,128,-2.833213344,0.770013942
85,85,793,2035,m6_4_128,SA,b,abu,Density estimate,sel,nat,17,1.333333333,p,1.2,4.413265458,3,1.5,3.394819583,3,-0.060958378,0.223143551,6.215922223,-0.287682072,-2.833213344,-0.287682072,1.237879756,darkgreen,2035,128,-2.833213344,0.770013942
89,89,797,2039,m6_4_128,SA,b,abu,Density estimate,sel,nat,17,1.333333333,p,3,9.166012874,3,3.8,34.62715974,3,-0.025268076,0.236388778,30.79037078,-0.287682072,-2.833213344,-0.287682072,1.112791445,darkgreen,2039,128,-2.833213344,0.770013942
100,100,808,2050,m6_4_128,SA,b,abu,Mean encounter rate,sel,nat,17,1.333333333,p,1.77,1.091192009,3,2.29,1.073871501,3,-0.384272043,0.257572271,0.199989158,-0.287682072,-2.833213344,-0.287682072,1.506539537,darkgreen,2050,128,-2.833213344,0.770013942
