,Unit_ID,ID.X,ID.resp,Study,ID.case,author,pubyear,citation,system,habitat,latitud,longitud,fcl,duration,fert_area,vol,study_typ,temp,Conversion,taxon,tax_resp_cat,tax_resp_typ,tax_resp_unit,con.mn,con.sd,con.n,fert.mn,fert.sd,fert.n,unit.conc.con,n_avail,mode,p_avail,fert.ratio.n,fert..ratio.p,log.fert.rat,n.add.m2,p.add.m2,mode2,LRR,var.LRR,log.n.av,log.p.av,log.n.add,log.p.add,st.n,st.p,st.tot,st.p.add,st.n.add,st.add.tot,X,scale,col,ID.study,ID.case,system,pr.st
11,11,11,37,m2_2_BBH045,11,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,5.4,0.24,3,6.5,0.54,3,µmol L-1,7.7,both,0.24,2.272727273,3.416666667,1.045456549,3804.347826,178.2608696,both,0.185403223,0.002959028,2.041220329,-1.427116356,8.243899856,5.183248037,NA,0.212529593,NA,-0.894421781,-0.651692721,-0.773057251,-0.773057251,1.556349489,darkblue,BBH045,11,freshwater,-0.795003892
12,12,13,46,m2_2_BBH047,13,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,7.5,0.67,3,10,0.036,3,µmol L-1,15,both,0.36,1.653333333,2.611111111,0.757164733,5391.304348,204.3478261,both,0.287682072,0.002664468,2.708050201,-1.021651248,8.592542629,5.319823572,NA,0.495678852,NA,-0.853985539,-0.544466922,-0.69922623,-0.69922623,1.56240806,darkblue,BBH047,13,freshwater,-0.719413874
13,13,14,51,m2_2_BBH048,14,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,8.8,0.31,3,10,0.64,3,µmol L-1,4.2,both,0.16,3.333333333,4.625,1.381072417,3043.478261,160.8695652,both,0.127833372,0.001778987,1.435084525,-1.832581464,8.020756305,5.080593883,NA,-0.070619665,NA,-0.924814839,-0.720320978,-0.822567909,-0.822567909,1.585748783,darkblue,BBH048,14,freshwater,-0.845694123
14,14,15,55,m2_2_BBH049,15,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,5.6,0.53,3,8.5,1.1,3,µmol L-1,5.9,both,0.17,2.661016949,4.411764706,1.263106667,3413.043478,163.0434783,both,0.417299566,0.008568225,1.774952351,-1.771956842,8.135359688,5.094016903,NA,-0.028283552,NA,-0.920840653,-0.685074473,-0.802957563,-0.802957563,1.494918095,darkblue,BBH049,15,freshwater,-0.825616568
15,15,16,59,m2_2_BBH050,16,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,3.9,0.7,3,6.5,0.013,3,µmol L-1,4.7,both,0.25,3.085106383,3.32,1.163948364,3152.173913,180.4347826,both,0.510825624,0.010739883,1.547562509,-1.386294361,8.055847625,5.195369397,NA,0.241036898,NA,-0.890832981,-0.709528571,-0.800180776,-0.800180776,1.481865449,darkblue,BBH050,16,freshwater,-0.822773625
16,16,17,64,m2_2_BBH051,17,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,3.7,0.081,3,6.4,0.56,3,µmol L-1,3.1,both,0.16,4.161290323,4.625,1.480045408,2804.347826,160.8695652,both,0.547965171,0.002711835,1.131402111,-1.832581464,7.938926287,5.080593883,NA,-0.070619665,NA,-0.924814839,-0.745487968,-0.835151404,-0.835151404,1.56138992,darkblue,BBH051,17,freshwater,-0.858577415
17,17,18,68,m2_2_BBH052,18,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,2.4,0.25,3,5.2,0.071,3,µmol L-1,8.8,both,0.24,2.113636364,3.416666667,1.017095431,4043.478261,178.2608696,both,0.773189888,0.003679041,2.174751721,-1.427116356,8.304860556,5.183248037,NA,0.212529593,NA,-0.894421781,-0.632944133,-0.763682957,-0.763682957,1.543765572,darkblue,BBH052,18,freshwater,-0.785406258
18,18,19,73,m2_2_BBH053,19,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,3.7,0.21,3,10,0.3,3,µmol L-1,1.4,both,0.14,8,5.142857143,1.882731247,2434.782609,156.5217391,both,0.994252273,0.001373776,0.336472237,-1.966112856,7.797612754,5.053194908,NA,-0.163868909,NA,-0.932926918,-0.788949235,-0.860938076,-0.860938076,1.600683719,darkblue,BBH053,19,freshwater,-0.884978447
19,19,20,77,m2_2_BBH054,20,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,4.2,0.15,3,6.4,0.25,3,µmol L-1,8.6,both,0.18,2.139534884,4.222222222,1.157157433,4000,165.2173913,both,0.421213465,0.000933796,2.151762203,-1.714798428,8.29404964,5.10726213,NA,0.011631997,NA,-0.916919108,-0.636269053,-0.77659408,-0.77659408,1.622990183,darkblue,BBH054,20,freshwater,-0.798624985
20,20,21,82,m2_2_BBH055,21,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.7,0.13,3,2.3,0.14,3,µmol L-1,4.1,both,0.12,3.390243902,5.833333333,1.528615768,3021.73913,152.173913,both,0.302280872,0.003184285,1.410986974,-2.120263536,8.013587815,5.025024031,NA,-0.271517261,NA,-0.941267536,-0.722525662,-0.831896599,-0.831896599,1.552110367,darkblue,BBH055,21,freshwater,-0.855245066
21,21,22,86,m2_2_BBH056,22,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,2.6,0.096,3,4.4,0.33,3,µmol L-1,4.1,both,0.12,3.390243902,5.833333333,1.528615768,3021.73913,152.173913,both,0.526093096,0.002329438,1.410986974,-2.120263536,8.013587815,5.025024031,NA,-0.271517261,NA,-0.941267536,-0.722525662,-0.831896599,-0.831896599,1.570172355,darkblue,BBH056,22,freshwater,-0.855245066
22,22,23,90,m2_2_BBH057,23,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,6.6,0.36,3,10,0.055,3,µmol L-1,2.5,both,0.1,4.92,6.8,1.768149604,2673.913043,147.826087,both,0.415515444,0.001001819,0.916290732,-2.302585093,7.891298238,4.996036495,NA,-0.398838238,NA,-0.949849945,-0.760136072,-0.854993008,-0.854993008,1.618927453,darkblue,BBH057,23,freshwater,-0.878891739
23,23,24,94,m2_2_BBH058,24,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.8,0.036,3,2.3,0.28,3,µmol L-1,30,both,0.13,1.326666667,5.461538462,1.222039386,8652.173913,154.3478261,both,0.245122458,0.005073472,3.401197382,-2.040220829,9.065565888,5.039208667,NA,-0.215620877,NA,-0.937067858,-0.398987648,-0.668027753,-0.668027753,1.525196707,darkblue,BBH058,24,freshwater,-0.687472104
24,24,25,98,m2_2_BBH059,25,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,4.1,0.03,3,4,0.068,3,µmol L-1,26,both,0.095,1.376923077,7.105263158,1.444821047,7782.608696,146.7391304,both,-0.024692613,0.00011418,3.258096538,-2.353878387,8.959646869,4.988656387,NA,-0.434657986,NA,-0.952034991,-0.43156326,-0.691799125,-0.691799125,1.744413329,darkblue,BBH059,25,freshwater,-0.71180982
25,25,26,102,m2_2_BBH060,26,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,2.5,0.069,3,2.9,0.14,3,µmol L-1,26,both,0.095,1.376923077,7.105263158,1.444821047,7782.608696,146.7391304,both,0.148420005,0.001030773,3.258096538,-2.353878387,8.959646869,4.988656387,NA,-0.434657986,NA,-0.952034991,-0.43156326,-0.691799125,-0.691799125,1.617281208,darkblue,BBH060,26,freshwater,-0.71180982
26,26,27,109,m2_2_BBH062,27,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.2,0.056,3,1.3,0.19,3,µmol L-1,26,both,0.095,1.376923077,7.105263158,1.444821047,7782.608696,146.7391304,both,0.080042708,0.007846242,3.258096538,-2.353878387,8.959646869,4.988656387,NA,-0.434657986,NA,-0.952034991,-0.43156326,-0.691799125,-0.691799125,1.500004211,darkblue,BBH062,27,freshwater,-0.71180982
27,27,28,113,m2_2_BBH063,28,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,3.3,0.047,3,4.1,0.01,3,µmol L-1,4.2,both,0.13,3.333333333,5.461538462,1.48102162,3043.478261,154.3478261,both,0.217064505,6.96E-05,1.435084525,-2.040220829,8.020756305,5.039208667,NA,-0.215620877,NA,-0.937067858,-0.720320978,-0.828694418,-0.828694418,1.773016137,darkblue,BBH063,28,freshwater,-0.851966594
28,28,29,117,m2_2_BBH064,29,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,0.65,0.023,3,0.99,0.032,3,µmol L-1,24,both,0.074,1.408333333,8.837837838,1.633756911,7347.826087,142.173913,both,0.42073258,0.000765621,3.17805383,-2.603690186,8.902159778,4.957051048,NA,-0.609109558,NA,-0.961392458,-0.449243533,-0.705317995,-0.705317995,1.634463584,darkblue,BBH064,29,freshwater,-0.725650773
29,29,30,121,m2_2_BBH065,30,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.8,0.14,3,2.1,0.19,3,µmol L-1,35,both,0.063,1.28,10.20634921,1.748012124,9739.130435,139.7826087,both,0.15415068,0.004745108,3.555348061,-2.764620553,9.183907115,4.940088421,NA,-0.721492382,NA,-0.966414623,-0.362591561,-0.664503092,-0.664503092,1.529062818,darkblue,BBH065,30,freshwater,-0.683863469
30,30,31,125,m2_2_BBH066,31,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,2.9,0.014,3,3.3,0.34,3,µmol L-1,35,both,0.063,1.28,10.20634921,1.748012124,9739.130435,139.7826087,both,0.129211731,0.003546183,3.555348061,-2.764620553,9.183907115,4.940088421,NA,-0.721492382,NA,-0.966414623,-0.362591561,-0.664503092,-0.664503092,1.545890723,darkblue,BBH066,31,freshwater,-0.683863469
31,31,32,129,m2_2_BBH067,32,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.7,0.07,3,2.1,0.18,3,µmol L-1,35,both,0.063,1.28,10.20634921,1.748012124,9739.130435,139.7826087,both,0.211309094,0.003014147,3.555348061,-2.764620553,9.183907115,4.940088421,NA,-0.721492382,NA,-0.966414623,-0.362591561,-0.664503092,-0.664503092,1.555283106,darkblue,BBH067,32,freshwater,-0.683863469
32,32,33,133,m2_2_BBH068,33,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.9,0.021,3,1.6,0.29,3,µmol L-1,35,both,0.063,1.28,10.20634921,1.748012124,9739.130435,139.7826087,both,-0.171850257,0.010991241,3.555348061,-2.764620553,9.183907115,4.940088421,NA,-0.721492382,NA,-0.966414623,-0.362591561,-0.664503092,-0.664503092,1.480528742,darkblue,BBH068,33,freshwater,-0.683863469
33,33,34,137,m2_2_BBH069,34,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,2.8,0.069,3,4.6,0.053,3,µmol L-1,35,both,0.063,1.28,10.20634921,1.748012124,9739.130435,139.7826087,both,0.496436886,0.000246674,3.555348061,-2.764620553,9.183907115,4.940088421,NA,-0.721492382,NA,-0.966414623,-0.362591561,-0.664503092,-0.664503092,1.69990611,darkblue,BBH069,34,freshwater,-0.683863469
34,34,35,141,m2_2_BBH070,35,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.6,0.076,3,1.6,0.12,3,µmol L-1,8.2,both,0.1,2.195121951,6.8,1.503535244,3913.043478,147.826087,both,0,0.002627083,2.104134154,-2.302585093,8.272070733,4.996036495,NA,-0.398838238,NA,-0.949849945,-0.64302871,-0.796439328,-0.796439328,1.563224501,darkblue,BBH070,35,freshwater,-0.818943038
35,35,36,145,m2_2_BBH071,36,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,1.9,0.037,3,2,0.096,3,µmol L-1,20,both,0.095,1.49,7.105263158,1.458064075,6478.26087,146.7391304,both,0.051293294,0.000894408,2.995732274,-2.353878387,8.776207369,4.988656387,NA,-0.434657986,NA,-0.952034991,-0.487980454,-0.720007722,-0.720007722,1.62548027,darkblue,BBH071,36,freshwater,-0.740690477
36,36,37,149,m2_2_BBH072,37,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,0.27,0.012,3,0.68,0.012,3,µmol L-1,41,both,0.032,1.23902439,19.125,2.320622653,11043.47826,133.0434783,both,0.923670839,0.000762242,3.713572067,-3.442019376,9.30959533,4.890675979,NA,-1.194541655,NA,-0.981044282,-0.323935893,-0.652490087,-0.652490087,1.634719105,darkblue,BBH072,37,freshwater,-0.671564259
37,37,38,152,m2_2_BBH073,38,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,25.5,succ,phytoplankton,biomass,chlorophyll,microg/L,38,2,3,72,10,3,µmol L-1,0.892857143,both,0.193548387,41,9.341405662,3.225680732,11263.73626,556.3119997,both,0.639079959,0.007353402,-0.113328685,-1.642227736,9.329343664,6.321329287,NA,0.062310434,NA,-0.557467373,-0.317862253,-0.437664813,-0.437664813,1.503752471,darkblue,BBH073,38,freshwater,-0.451620848
38,38,39,153,m2_2_BBH073,39,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,25.5,succ,phytoplankton,biomass,chlorophyll,microg/L,36,6,3,85,1,3,µmol L-1,0.892857143,both,0.193548387,41,9.341405662,3.225680732,11263.73626,556.3119997,both,0.859132318,0.009305395,-0.113328685,-1.642227736,9.329343664,6.321329287,NA,0.062310434,NA,-0.557467373,-0.317862253,-0.437664813,-0.437664813,1.490149316,darkblue,BBH073,39,freshwater,-0.451620848
40,40,41,157,m2_2_BBH074,41,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,17,succ,phytoplankton,biomass,chlorophyll,microg/L,38,8,3,56,3,3,µmol L-1,2.142857143,both,0.064516129,17.66666666,26.02421699,3.083992288,11648.35165,516.6097665,both,0.387765531,0.015730409,0.762140052,-2.740840024,9.36291996,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.307535794,-0.443462405,-0.443462405,1.45981488,darkblue,BBH074,41,freshwater,-0.457556566
39,39,40,156,m2_2_BBH074,40,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,17,succ,phytoplankton,biomass,chlorophyll,microg/L,40,6,3,60,2,3,µmol L-1,2.142857143,both,0.064516129,17.66666666,26.02421699,3.083992288,11648.35165,516.6097665,both,0.405465108,0.00787037,0.762140052,-2.740840024,9.36291996,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.307535794,-0.443462405,-0.443462405,1.499826799,darkblue,BBH074,40,freshwater,-0.457556566
41,41,42,160,m2_2_BBH075,42,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,28,succ,phytoplankton,biomass,chlorophyll,microg/L,50,20,3,100,13,3,µmol L-1,1.428571429,both,0.241935484,26,7.67312453,2.823552847,11428.57143,571.2003372,both,0.693147181,0.058966667,0.356674944,-1.419084183,9.343871765,6.347740001,NA,0.218138716,NA,-0.54964789,-0.313394105,-0.431520998,-0.431520998,1.383466101,darkblue,BBH075,42,freshwater,-0.445330659
42,42,43,161,m2_2_BBH075,43,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,28,succ,phytoplankton,biomass,chlorophyll,microg/L,43,7,3,97,24,3,µmol L-1,1.428571429,both,0.241935484,26,7.67312453,2.823552847,11428.57143,571.2003372,both,0.813510863,0.029239598,0.356674944,-1.419084183,9.343871765,6.347740001,NA,0.218138716,NA,-0.54964789,-0.313394105,-0.431520998,-0.431520998,1.4239956,darkblue,BBH075,43,freshwater,-0.445330659
43,43,44,164,m2_2_BBH076,44,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,31.5,succ,phytoplankton,biomass,chlorophyll,microg/L,75,12,3,120,27,3,µmol L-1,0.714285714,both,0.064516129,50.99999999,26.02421699,3.650972698,11208.79121,516.6097665,both,0.470003629,0.025408333,-0.336472237,-2.740840024,9.324453679,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.319366177,-0.449377596,-0.449377596,1.432110571,darkblue,BBH076,44,freshwater,-0.463612685
44,44,45,165,m2_2_BBH076,45,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,31.5,succ,phytoplankton,biomass,chlorophyll,microg/L,70,12,3,112,20,3,µmol L-1,0.714285714,both,0.064516129,50.99999999,26.02421699,3.650972698,11208.79121,516.6097665,both,0.470003629,0.02042517,-0.336472237,-2.740840024,9.324453679,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.319366177,-0.449377596,-0.449377596,1.44472442,darkblue,BBH076,45,freshwater,-0.463612685
46,46,47,169,m2_2_BBH077,47,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,27,succ,phytoplankton,biomass,chlorophyll,microg/L,32,3,3,92,26,3,µmol L-1,0.892857143,both,0.064516129,41,26.02421699,3.511906821,11263.73626,516.6097665,both,1.056052674,0.029552246,-0.113328685,-2.740840024,9.329343664,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.317862253,-0.448625634,-0.448625634,1.423381064,darkblue,BBH077,47,freshwater,-0.462842807
45,45,46,168,m2_2_BBH077,46,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,27,succ,phytoplankton,biomass,chlorophyll,microg/L,27,2,3,80,8,3,µmol L-1,0.892857143,both,0.064516129,41,26.02421699,3.511906821,11263.73626,516.6097665,both,1.086189769,0.005162323,-0.113328685,-2.740840024,9.329343664,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.317862253,-0.448625634,-0.448625634,1.524193578,darkblue,BBH077,46,freshwater,-0.462842807
47,47,48,172,m2_2_BBH078,48,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,23,succ,phytoplankton,biomass,chlorophyll,microg/L,18.5,2,3,17,3.5,3,µmol L-1,23.21428571,both,1.290322581,2.538461538,2.251210849,0.873314833,18131.86813,893.7809824,both,-0.084557388,0.018024969,3.144767853,0.25489225,9.805426339,6.795460759,NA,1.387130021,NA,-0.417090147,-0.171442049,-0.294266098,-0.294266098,1.451947464,darkblue,BBH078,48,freshwater,-0.304805711
48,48,49,173,m2_2_BBH078,49,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,23,succ,phytoplankton,biomass,chlorophyll,microg/L,16.5,5,3,18,3,3,µmol L-1,23.21428571,both,1.290322581,2.538461538,2.251210849,0.873314833,18131.86813,893.7809824,both,0.087011377,0.039868381,3.144767853,0.25489225,9.805426339,6.795460759,NA,1.387130021,NA,-0.417090147,-0.171442049,-0.294266098,-0.294266098,1.406080437,darkblue,BBH078,49,freshwater,-0.304805711
