,Unit_ID,ID.X,row,ID,Study,Invader.name,GROWTHFORM,ECOSYSTEMS,IMPACT,Mean,SD,N,Mean.1,SD.1,N.1,cause.hedges,cause.LRR,LRR,var.LRR,X,var.LRR,scale,col,row,Citation,pr.st
69,69,286,286,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(August),grass,grasslands,litter,0,0,200,0.07,0,200,NA,0.067658648,0.032789823,0.001818181,0.112477983,0.016913308,1.410666517,darkgreen,302,Ogle et al. 2003,-0.275099838
85,85,302,302,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(August),grass,grasslands,litter,0,0,200,0.07,0,200,NA,0.067658648,0.112477983,0.016913308,0.016807118,0.024858553,1.39169094,darkgreen,310,Ogle et al. 2003,-0.275099838
77,77,294,294,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(August),grass,grasslands,litter,0,0,200,0.07,0,200,NA,0.067658648,0.193371393,0.033714739,-0.298044859,0.027175274,1.387300325,darkgreen,318,Ogle et al. 2003,-0.275099838
5,5,86,86,NA,m11_1_Belnap&Philips 2001,Microstegium spp.,grass,forests,nutrients,0,0,56,0.1,NA,NA,NA,0.09531018,-1.595117859,0.011929234,-1.595117859,0.011929234,1.427868596,darkgreen,86,Ehrenfeld et al. 2001,-0.270310886
113,113,371,371,48,m11_1_Belnap&Philips 2001,Pseudotsuga menziesii,tree,forests,nutrients,20,3,5,24,6,5,0.843274043,0.182321557,-0.327687407,1.08E-07,-0.327687407,1.08E-07,2,darkgreen,371,Dehlin et al. 2008,-0.255241436
121,121,379,379,NA,m11_1_Belnap&Philips 2001,Pseudotsuga menziesii,tree,forests,nutrients,20,3,5,24,6,5,0.843274043,0.182321557,0,0.008163265,0.15415068,0.000584201,1.576504543,darkgreen,373,Dehlin et al. 2008,-0.255241436
115,115,373,373,NA,m11_1_Belnap&Philips 2001,Pseudotsuga menziesii,tree,forests,nutrients,20,3,5,24,6,5,0.843274043,0.182321557,0.15415068,0.000584201,1.150572028,0.046814811,1.360500437,darkgreen,375,Dehlin et al. 2008,-0.255241436
123,123,381,381,NA,m11_1_Belnap&Philips 2001,Pseudotsuga menziesii,tree,forests,litter,20,3,5,24,6,5,0.843274043,0.182321557,0.201090996,0.008847463,3.135494216,0.049539216,1.35771324,darkgreen,377,Dehlin et al. 2008,-0.255241436
117,117,375,375,NA,m11_1_Belnap&Philips 2001,Pseudotsuga menziesii,tree,forests,nutrients,20,3,5,24,6,5,0.843274043,0.182321557,1.150572028,0.046814811,0,0.008163265,1.446560683,darkgreen,379,Dehlin et al. 2008,-0.255241436
119,119,377,377,NA,m11_1_Fickbohm & Zhu 2006,Pseudotsuga menziesii,tree,forests,nutrients,20,3,5,24,6,5,0.843274043,0.182321557,3.135494216,0.049539216,0.201090996,0.008847463,1.442594767,darkgreen,381,Dehlin et al. 2008,-0.255241436
39,39,208,208,NA,m11_1_Fickbohm & Zhu 2006,Microstegium vimineum,grass,forests,nutrients,0,0,500,0.28,0.09,500,4.399775527,0.246860078,-0.687622305,0.002646171,-0.195973646,0.024029675,1.393361947,darkgreen,206,Fraterrigo et al. 2011,-0.244064048
37,37,206,206,NA,m11_1_Fraterrigo et al. 2011,Microstegium vimineum,grass,forests,nutrients,0,0,500,0.28,0.09,500,4.399775527,0.246860078,-0.195973646,0.024029675,0.287682072,0.004822531,1.472495965,darkgreen,207,Fraterrigo et al. 2011,-0.244064048
38,38,207,207,NA,m11_1_Fraterrigo et al. 2011,Microstegium vimineum,grass,forests,nutrients,0,0,500,0.28,0.09,500,4.399775527,0.246860078,0.287682072,0.004822531,-0.687622305,0.002646171,1.502069653,darkgreen,208,Fraterrigo et al. 2011,-0.244064048
33,33,193,193,23,m11_1_Fraterrigo et al. 2011,Lythrum salicaria (live),herb,wetlands,nutrients,1.47,0.04,15,1.93,0.13,15,4.782852253,0.272257602,1.850599969,0.013804717,1.850599969,0.013804717,1.420673649,darkgreen,193,Fickbohm & Zhu 2006,-0.239665466
10,10,91,91,NA,m11_1_Fraterrigo et al. 2011,Microstegium spp.,grass,forests,nutrients,NA,NA,NA,0.7,NA,NA,NA,0.530628251,1.611835037,0.011710557,1.611835037,0.011710557,1.428780233,darkgreen,91,Ehrenfeld et al. 2001,-0.194918405
111,111,358,358,NA,m11_1_Fraterrigo et al. 2011,Spartina alterniflora,grass,wetlands,nutrients,60.8,13.57,15,109.47,58.29,15,1.150062638,0.58806075,-0.730326184,0.008866226,-0.027897504,2.47E-06,1.845793376,darkgreen,353,Zhou et al. 2008,-0.184971704
109,109,356,356,NA,m11_1_Larkin et al. 2012,Spartina alterniflora,grass,wetlands,nutrients,60.8,13.57,15,109.47,58.29,15,1.150062638,0.58806075,-0.442736503,0.013161552,0.115157219,0.003164799,1.493250748,darkgreen,354,Zhou et al. 2008,-0.184971704
112,112,359,359,NA,m11_1_Mitchell et al. 2011,Spartina alterniflora,grass,wetlands,nutrients,60.8,13.57,15,109.47,58.29,15,1.150062638,0.58806075,-0.204462683,0.008637505,1.658228077,70.43178382,1,darkgreen,355,Zhou et al. 2008,-0.184971704
106,106,353,353,45,m11_1_Mitchell et al. 2011,Spartina alterniflora,grass,wetlands,nutrients,60.8,13.57,15,109.47,58.29,15,1.150062638,0.58806075,-0.027897504,2.47E-06,-0.442736503,0.013161552,1.423024549,darkgreen,356,Zhou et al. 2008,-0.184971704
107,107,354,354,NA,m11_1_Mitchell et al. 2011,Spartina alterniflora,grass,wetlands,nutrients,60.8,13.57,15,109.47,58.29,15,1.150062638,0.58806075,0.115157219,0.003164799,0.350656872,0.000159566,1.640452075,darkgreen,357,Zhou et al. 2008,-0.184971704
110,110,357,357,NA,m11_1_Scharfy et al 2010,Spartina alterniflora,grass,wetlands,nutrients,60.8,13.57,15,109.47,58.29,15,1.150062638,0.58806075,0.350656872,0.000159566,-0.730326184,0.008866226,1.442490381,darkgreen,358,Zhou et al. 2008,-0.184971704
108,108,355,355,NA,m11_1_Scharfy et al. 2010,Spartina alterniflora,grass,wetlands,nutrients,60.8,13.57,15,109.47,58.29,15,1.150062638,0.58806075,1.658228077,70.43178382,-0.204462683,0.008637505,1.443778187,darkgreen,359,Zhou et al. 2008,-0.184971704
35,35,204,204,25,m11_1_Scharfy et al. 2010,Microstegium vimineum,grass,forests,nutrients,0,0,500,0.96,0.67,500,2.026335851,0.672944473,-1.058606954,0.076347506,-1.058606954,0.076347506,1.336400601,darkgreen,204,Fraterrigo et al. 2011,-0.170270742
36,36,205,205,NA,m11_1_Turner et al. 2011,Microstegium vimineum,grass,forests,nutrients,0,0,500,0.96,0.67,500,2.026335851,0.672944473,1.203972804,0.030864198,1.203972804,0.030864198,1.381028235,darkgreen,205,Fraterrigo et al. 2011,-0.170270742
13,13,119,119,NA,m11_1_Turner et al. 2011,Typha x glauca,herb,wetlands,nutrients,290,7.13,9,639.6,29.3,9,16.39556557,0.790962058,-0.080451789,1.17E-05,1.406295028,0.029818065,1.382727332,darkgreen,117,Angeloni et al. 2006,-0.149831346
14,14,120,120,NA,m11_1_Turner et al. 2011,Typha x glauca,herb,wetlands,biota,290,7.13,9,639.6,29.3,9,16.39556557,0.790962058,0.236388778,0.000499623,1.103612299,0.001797282,1.521130822,darkgreen,118,Angeloni et al. 2006,-0.149831346
12,12,118,118,NA,m11_1_Turner et al. 2011,Typha x glauca,herb,wetlands,nutrients,290,7.13,9,639.6,29.3,9,16.39556557,0.790962058,1.103612299,0.001797282,-0.080451789,1.17E-05,1.769348593,darkgreen,119,Angeloni et al. 2006,-0.149831346
11,11,117,117,15,m11_1_Turner et al. 2011,Typha x glauca,herb,wetlands,nutrients,290,7.13,9,639.6,29.3,9,16.39556557,0.790962058,1.406295028,0.029818065,0.236388778,0.000499623,1.58421061,darkgreen,120,Angeloni et al. 2006,-0.149831346
118,118,376,376,NA,m11_1_Turner et al. 2011,Pseudotsuga menziesii,tree,forests,nutrients,34,5,5,79,5,5,9,0.843087328,-0.467340512,0.039515763,-0.203124684,2.70E-07,1.954827025,darkgreen,372,Dehlin et al. 2008,-0.140803801
114,114,372,372,NA,m11_1_Turner et al. 2011,Pseudotsuga menziesii,tree,forests,nutrients,34,5,5,79,5,5,9,0.843087328,-0.203124684,2.70E-07,0.020619287,0.000599976,1.575191652,darkgreen,374,Dehlin et al. 2008,-0.140803801
124,124,382,382,NA,m11_1_Turner et al. 2011,Pseudotsuga menziesii,tree,forests,litter,34,5,5,79,5,5,9,0.843087328,-0.02992303,0.011155198,-0.467340512,0.039515763,1.368852425,darkgreen,376,Dehlin et al. 2008,-0.140803801
116,116,374,374,NA,m11_1_Turner et al. 2011,Pseudotsuga menziesii,tree,forests,nutrients,34,5,5,79,5,5,9,0.843087328,0.020619287,0.000599976,0.405465108,0.011293889,1.430565388,darkgreen,378,Dehlin et al. 2008,-0.140803801
122,122,380,380,NA,m11_1_Turner et al. 2011,Pseudotsuga menziesii,tree,forests,nutrients,34,5,5,79,5,5,9,0.843087328,0.251314428,0.006550768,0.251314428,0.006550768,1.457404073,darkgreen,380,Dehlin et al. 2008,-0.140803801
120,120,378,378,NA,m11_1_Turner et al. 2011,Pseudotsuga menziesii,tree,forests,nutrients,34,5,5,79,5,5,9,0.843087328,0.405465108,0.011293889,-0.02992303,0.011155198,1.431174231,darkgreen,382,Dehlin et al. 2008,-0.140803801
126,126,386,386,50,m11_1_Turner et al. 2011,Euonymus fortunei,herb,lab,biota,33,8,42,84,15,42,4.242640687,0.934309237,-0.064538521,0.000794917,-0.064538521,0.000794917,1.561328432,darkgreen,386,Smith & Reynlods 2012,-0.125005132
8,8,89,89,NA,m11_1_Turner et al. 2011,Berberis spp.,shrub,forests,nutrients,0,0,56,3.66,0.827,32,7.371297758,1.539015448,1.630807938,0.011841817,1.630807938,0.011841817,1.428231005,darkgreen,89,Ehrenfeld et al. 2001,-0.020276419
3,3,84,84,12,m11_1_Turner et al. 2011,Berberis spp.,shrub,forests,nutrients,0,0,56,3.99,0.51,56,11.0641414,1.60743591,-1.884380959,0.011895295,-1.884380959,0.011895295,1.428008982,darkgreen,84,Ehrenfeld et al. 2001,-0.00842672
6,6,87,87,NA,m11_1_Turner et al. 2011,Berberis spp.,shrub,forests,nutrients,0,0,56,3.99,0.51,56,11.0641414,1.60743591,2.772588722,0.003420252,2.772588722,0.003420252,1.489425848,darkgreen,87,Ehrenfeld et al. 2001,-0.00842672
9,9,90,90,NA,m11_1_Turner et al. 2011,Microstegium spp.,grass,forests,nutrients,0,0,56,3.99,0.51,56,11.0641414,1.60743591,2.995732274,0.093766234,2.995732274,0.093766234,1.326274273,darkgreen,90,Ehrenfeld et al. 2001,-0.00842672
27,27,133,133,NA,m11_1_Turner et al. 2011,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,-0.043485112,0.006913804,0.250144153,0.041869314,1.366001734,darkgreen,121,Belnap&Philips 2001,0.00842672
21,21,127,127,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0,5.77E-05,0.023810649,0.028184617,1.38550335,darkgreen,122,Belnap&Philips 2001,0.00842672
26,26,132,132,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0,0.005144033,0.111225635,0.00618059,1.460270287,darkgreen,125,Belnap&Philips 2001,0.00842672
16,16,122,122,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.023810649,0.028184617,0.041549003,0.002394137,1.507001557,darkgreen,126,Belnap&Philips 2001,0.00842672
20,20,126,126,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.041549003,0.002394137,0,5.77E-05,1.690565262,darkgreen,127,Belnap&Philips 2001,0.00842672
23,23,129,129,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.07126302,0.003577842,0.07126302,0.003577842,1.48720626,darkgreen,129,Belnap&Philips 2001,0.00842672
19,19,125,125,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.111225635,0.00618059,0.233614851,0.004272148,1.478467127,darkgreen,131,Belnap&Philips 2001,0.00842672
28,28,134,134,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.123613956,0.004737781,0,0.005144033,1.469315877,darkgreen,132,Belnap&Philips 2001,0.00842672
32,32,138,138,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.171850257,0.000556361,-0.043485112,0.006913804,1.454746333,darkgreen,133,Belnap&Philips 2001,0.00842672
25,25,131,131,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.233614851,0.004272148,0.123613956,0.004737781,1.473369598,darkgreen,134,Belnap&Philips 2001,0.00842672
15,15,121,121,16,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.250144153,0.041869314,0.251314428,0.001028807,1.548619738,darkgreen,136,Belnap&Philips 2001,0.00842672
30,30,136,136,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.251314428,0.001028807,0.554996842,0.001844691,1.519847904,darkgreen,137,Belnap&Philips 2001,0.00842672
31,31,137,137,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,3.4,0.8,30,18.7,4,30,5.304320626,1.704748092,0.554996842,0.001844691,0.171850257,0.000556361,1.578910495,darkgreen,138,Belnap&Philips 2001,0.00842672
4,4,85,85,NA,m11_1_Ogle et al. 2003,Berberis spp.,shrub,forests,nutrients,0,0,56,5.01,1.02,50,7.15576688,1.793424749,-1.33105019,0.001978696,-1.33105019,0.001978696,1.516392484,darkgreen,85,Ehrenfeld et al. 2001,0.023784578
7,7,88,88,NA,m11_1_Ogle et al. 2003,Berberis spp.,shrub,forests,nutrients,0,0,56,5.01,1.02,50,7.15576688,1.793424749,2.47730205,0.017442625,2.47730205,0.017442625,1.409148073,darkgreen,88,Ehrenfeld et al. 2001,0.023784578
95,95,312,312,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3/C4)(June),grass,grasslands,litter,0,0,200,6,1.5,200,5.656854249,1.945910149,-0.19248981,0.088128577,-0.098601977,0.003912895,1.482795341,darkgreen,288,Ogle et al. 2003,0.050193435
71,71,288,288,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3/C4)(Jun),grass,grasslands,litter,0,0,200,6,1.5,200,5.656854249,1.945910149,-0.098601977,0.003912895,0.39111766,0.006926984,1.454652489,darkgreen,296,Ogle et al. 2003,0.050193435
87,87,304,304,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3/C4)(Jun),grass,grasslands,litter,0,0,200,6,1.5,200,5.656854249,1.945910149,-0.081262964,0.035786138,-0.081262964,0.035786138,1.373737429,darkgreen,304,Ogle et al. 2003,0.050193435
103,103,320,320,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3/C4)(June),grass,grasslands,litter,0,0,200,6,1.5,200,5.656854249,1.945910149,0.14689112,0.015432666,-0.19248981,0.088128577,1.32932967,darkgreen,312,Ogle et al. 2003,0.050193435
79,79,296,296,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3/C4)(Jun),grass,grasslands,litter,0,0,200,6,1.5,200,5.656854249,1.945910149,0.39111766,0.006926984,0.14689112,0.015432666,1.415180746,darkgreen,320,Ogle et al. 2003,0.050193435
102,102,319,319,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3)(October),grass,grasslands,litter,0,0,200,6.5,1.8,200,5.106882309,2.014903021,-0.670674325,0.043966956,-0.016172859,0.002103348,1.513382204,darkgreen,287,Ogle et al. 2003,0.06214227
86,86,303,303,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3)(October),grass,grasslands,litter,0,0,200,6.5,1.8,200,5.106882309,2.014903021,-0.306550557,0.017694859,-0.174509017,0.018641988,1.405871357,darkgreen,295,Ogle et al. 2003,0.06214227
78,78,295,295,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3)(October),grass,grasslands,litter,0,0,200,6.5,1.8,200,5.106882309,2.014903021,-0.174509017,0.018641988,-0.306550557,0.017694859,1.408440632,darkgreen,303,Ogle et al. 2003,0.06214227
70,70,287,287,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3)(October),grass,grasslands,litter,0,0,200,6.5,1.8,200,5.106882309,2.014903021,-0.016172859,0.002103348,0.163789309,0.0935938,1.326364971,darkgreen,311,Ogle et al. 2003,0.06214227
94,94,311,311,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3)(October),grass,grasslands,litter,0,0,200,6.5,1.8,200,5.106882309,2.014903021,0.163789309,0.0935938,-0.670674325,0.043966956,1.363592954,darkgreen,319,Ogle et al. 2003,0.06214227
90,90,307,307,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3/C4)(October),grass,grasslands,litter,0,0,200,6.9,1.7,200,5.740043283,2.066862759,-0.413641769,0.03586569,0.182321557,0.000867556,1.557019774,darkgreen,291,Ogle et al. 2003,0.071141146
82,82,299,299,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3/C4)(October),grass,grasslands,litter,0,0,200,6.9,1.7,200,5.740043283,2.066862759,-0.324339563,0.018415112,-0.324339563,0.018415112,1.406474712,darkgreen,299,Ogle et al. 2003,0.071141146
74,74,291,291,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3/C4)(October),grass,grasslands,litter,0,0,200,6.9,1.7,200,5.740043283,2.066862759,0.182321557,0.000867556,-0.413641769,0.03586569,1.373628015,darkgreen,307,Ogle et al. 2003,0.071141146
98,98,315,315,NA,m11_1_Ogle et al. 2003,Bromus spp.(C3/C4)(October),grass,grasslands,litter,0,0,200,6.9,1.7,200,5.740043283,2.066862759,0.510825624,0.044837018,0.510825624,0.044837018,1.362627388,darkgreen,315,Ogle et al. 2003,0.071141146
41,41,216,216,NA,m11_1_Ogle et al. 2003,Typha x glauna(<=10 years),herb,wetlands,litter,2.14,1.83,60,18.94,2.81,60,7.085076595,2.180470259,-0.046631542,0.000160416,-0.046631542,0.000160416,1.64019029,darkgreen,216,Mitchell et al. 2011,0.090816762
17,17,123,123,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,1.3,0.5,30,13.7,1.5,30,11.09089717,2.355031568,-0.105360516,0.029538639,-0.105360516,0.029538639,1.38319126,darkgreen,123,Belnap&Philips 2001,0.121048933
18,18,124,124,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,1.3,0.5,30,13.7,1.5,30,11.09089717,2.355031568,-0.063178902,0.005331808,-0.063178902,0.005331808,1.467549247,darkgreen,124,Belnap&Philips 2001,0.121048933
22,22,128,128,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,1.3,0.5,30,13.7,1.5,30,11.09089717,2.355031568,-0.013245227,0,0.251000506,0.013802259,1.420682424,darkgreen,130,Belnap&Philips 2001,0.121048933
29,29,135,135,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,1.3,0.5,30,13.7,1.5,30,11.09089717,2.355031568,0.174353387,0.01262706,0.174353387,0.01262706,1.425067348,darkgreen,135,Belnap&Philips 2001,0.121048933
24,24,130,130,NA,m11_1_Ogle et al. 2003,Bromus tectorum,grass,grasslands,biota,1.3,0.5,30,13.7,1.5,30,11.09089717,2.355031568,0.251000506,0.013802259,-1.300063929,0.001469882,1.531039553,darkgreen,217,Mitchell et al. 2011,0.143001548
42,42,217,217,NA,m11_1_Ogle et al. 2003,Typha x glauca(15<= Age<= 25),herb,wetlands,litter,2.14,1.83,60,25.6,2.67,60,10.24962446,2.481786522,-1.300063929,0.001469882,-0.025502293,0.000478002,1.58639045,darkgreen,284,Ogle et al. 2003,0.144979186
83,83,300,300,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3)(June),grass,grasslands,litter,0,0,200,11.1,2.4,200,6.540737726,2.493205453,-0.214147988,0.022515931,0.341069946,0.017553122,1.408836911,darkgreen,292,Ogle et al. 2003,0.144979186
99,99,316,316,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3)(June),grass,grasslands,litter,0,0,200,11.1,2.4,200,6.540737726,2.493205453,-0.066489741,0.020467903,-0.214147988,0.022515931,1.396568047,darkgreen,300,Ogle et al. 2003,0.144979186
67,67,284,284,38,m11_1_Ogle et al. 2003,Bromus spp. (C3)(June),grass,grasslands,litter,0,0,200,11.1,2.4,200,6.540737726,2.493205453,-0.025502293,0.000478002,0.563431924,0.066007686,1.343571199,darkgreen,308,Ogle et al. 2003,0.144979186
75,75,292,292,NA,m11_1_Ogle et al. 2003,Bromus spp. (C3)(June),grass,grasslands,litter,0,0,200,11.1,2.4,200,6.540737726,2.493205453,0.341069946,0.017553122,-0.066489741,0.020467903,1.401267096,darkgreen,316,Ogle et al. 2003,0.144979186
91,91,308,308,NA,m11_1_Zhou et al. 2008,Bromus spp. (C3)(June),grass,grasslands,litter,0,0,200,11.1,2.4,200,6.540737726,2.493205453,0.563431924,0.066007686,0.916290732,0.00462963,1.474507436,darkgreen,251,Turner et al. 2011,0.145511603
